Vaccine,Dose,Days_after,Variant,Age,Efficacy_Definition,Country,Efficacy,LCL,UCL,Prior_Covid,Comment.source,Ref,Design,Study
Comirnaty,2,14,B.1.1.7,all,HSP,UK,95,78,99,1,Stowe,,,
Comirnaty,1,21,B.1.617.2,all,HSP,UK,94,46,99,1,Stowe,,,
Comirnaty,2,14,B.1.617.2,all,HSP,UK,96,86,99,1,Stowe,,,
Comirnaty,1,14,B.1.1.7,all,HSP,Spain,65,25,83,0,"Martinez-Baz, till April",,,
Comirnaty,2,14,B.1.1.7,all,HSP,Spain,94,60,99,0,"Martinez-Baz, till April",,,
Comirnaty,1,14,D614G,all,HSP,Canada,69,59,77,0,Chung,,,
Comirnaty,2,1,D614G,all,HSP,Canada,96,82,99,0,Chung,,,
Comirnaty,1,14,B.1.1.7,all,HSP,Canada,59,39,73,0,Chung,,,
Comirnaty,2,1,B.1.1.7,all,HSP,Canada,94,59,99,0,Chung,,,
Comirnaty,1,17,B.1.1.7,all,HSP,Qatar,72,32,90,,Abu-Raddad,,,
Comirnaty,2,14,B.1.1.7,all,HSP,Qatar,99.9,82,100,,Abu-Raddad,,,
Comirnaty,1,17,B.1.351,all,HSP,Qatar,56.5,0,82.8,,Abu-Raddad,,,
Comirnaty,2,14,B.1.351,all,HSP,Qatar,99.9,74,100,,Abu-Raddad,,,
Comirnaty,2,14,B.1.351,all,SYM,Qatar,75,70.5,78.9,,"85% Sympt and TNCC, rest Infection",Abu-Raddad2021,TNCC,1
Comirnaty,2,7,B.1.351,all,SYM,Israel,94,90,98,0,Mor,Mor2021,,8
Comirnaty,1,28,B.1.617.2,all,SYM,UK,51.2,50.7,51.7,0,Andrews,Andrews2022,TNCC,2
Comirnaty,2,14,B.1.617.2,all,SYM,UK,83.3,83.1,83.5,0,Andrews,Andrews2022,TNCC,2
Comirnaty,1,14,B.1.1.7,all,SYM,Israel,58.3,54.7,61.6,0,Glatman-Freedman,GlatmanFreedman2021,Retrospective,5
Comirnaty,2,8,B.1.1.7,all,SYM,Israel,93.6,92.7,94.3,0,Glatman-Freedman,GlatmanFreedman2021,longitudinal,5
Comirnaty,2,14,B.1.617.2,all,SYM,Sweden,78,78,79,0,Nordstrom1,Nordstrom2021,Retrospective Cohort,10
Comirnaty,1,14,B.1.351,all,SYM,Qatar,16.9,10.4,23,,"85% Sympt and TNCC, rest Infection",Abu-Raddad2021,TNCC,1
Comirnaty,1,14,B.1.1.7,all,SYM,Qatar,29.5,22.9,35.5,,"85% Sympt and TNCC, rest Infection",Abu-Raddad2021,TNCC,1
Comirnaty,2,14,B.1.1.7,all,SYM,Qatar,89.5,85.9,92.3,,"85% Sympt and TNCC, rest Infection",Abu-Raddad2021,TNCC,1
